지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
102,백령도,2023-06-05 18:00,21,,8.5,57
102,백령도,2023-06-05 19:00,19.5,,7.9,70
102,백령도,2023-06-05 20:00,18.4,,6.6,79
102,백령도,2023-06-05 21:00,18.1,,7,83
102,백령도,2023-06-05 22:00,18,,7.3,86
102,백령도,2023-06-05 23:00,17.9,,6.1,87
102,백령도,2023-06-06 00:00,17.9,,5.1,84
102,백령도,2023-06-06 01:00,17.6,,3,84
102,백령도,2023-06-06 02:00,16.7,,2.8,90
102,백령도,2023-06-06 03:00,15.9,,2.2,93
102,백령도,2023-06-06 04:00,15.4,,2.9,95
102,백령도,2023-06-06 05:00,16.7,,3.4,93
102,백령도,2023-06-06 06:00,17.3,,4.1,90
102,백령도,2023-06-06 07:00,17.7,,1.2,88
102,백령도,2023-06-06 08:00,16.9,,3.5,88
102,백령도,2023-06-06 09:00,17.6,0,3.1,88
102,백령도,2023-06-06 10:00,18.4,.4,5.6,85
102,백령도,2023-06-06 11:00,18.9,,6,81
102,백령도,2023-06-06 12:00,18.5,0,4.5,85
102,백령도,2023-06-06 13:00,19.8,0,5.9,78
102,백령도,2023-06-06 14:00,19.8,,4.9,78
102,백령도,2023-06-06 15:00,20,,6,79
102,백령도,2023-06-06 16:00,19.6,,6.8,81
102,백령도,2023-06-06 17:00,19.4,,6.6,81
102,백령도,2023-06-06 18:00,19,,5.9,86
102,백령도,2023-06-06 19:00,18.4,,6.2,89
102,백령도,2023-06-06 20:00,18.1,,3.7,91
102,백령도,2023-06-06 21:00,17.9,,4.1,92
102,백령도,2023-06-06 22:00,17.7,,4.5,93
102,백령도,2023-06-06 23:00,17.7,,2.2,94
102,백령도,2023-06-07 00:00,17.5,,1.4,95
102,백령도,2023-06-07 01:00,17.1,,3.3,95
102,백령도,2023-06-07 02:00,17,,1.8,95
102,백령도,2023-06-07 03:00,16.7,,1.5,96
102,백령도,2023-06-07 04:00,16.1,,1.8,97
102,백령도,2023-06-07 05:00,16.1,,1.3,98
102,백령도,2023-06-07 06:00,16.5,,3.1,98
102,백령도,2023-06-07 07:00,16.8,.1,3.6,98
102,백령도,2023-06-07 08:00,16.9,.1,4.4,98
102,백령도,2023-06-07 09:00,17,0,4.5,98
102,백령도,2023-06-07 10:00,16.9,0,5.1,97
102,백령도,2023-06-07 11:00,17.6,0,5.4,96
102,백령도,2023-06-07 12:00,18.2,0,6.5,93
102,백령도,2023-06-07 13:00,18.7,,7.8,90
102,백령도,2023-06-07 14:00,18.3,,5.3,91
102,백령도,2023-06-07 15:00,18.2,,7.8,93
102,백령도,2023-06-07 16:00,17.9,,8.5,93
102,백령도,2023-06-07 17:00,17,,7.6,94
102,백령도,2023-06-07 18:00,17.7,,8.3,95
102,백령도,2023-06-07 19:00,17.5,,7.8,96
102,백령도,2023-06-07 20:00,17.2,,5.1,97
102,백령도,2023-06-07 21:00,17.4,,5.7,97
102,백령도,2023-06-07 22:00,17.3,,5.8,96
102,백령도,2023-06-07 23:00,17.1,,5.7,95
102,백령도,2023-06-08 00:00,16.8,,5.6,96
102,백령도,2023-06-08 01:00,16.7,,5.1,96
102,백령도,2023-06-08 02:00,18,0,2.2,94
102,백령도,2023-06-08 03:00,17.8,.1,4.6,93
102,백령도,2023-06-08 04:00,16.8,1.9,4.7,97
102,백령도,2023-06-08 05:00,16.8,.6,5.5,97
102,백령도,2023-06-08 06:00,17,.8,8.2,97
102,백령도,2023-06-08 07:00,16.3,.2,7,98
102,백령도,2023-06-08 08:00,16.4,0,.9,98
102,백령도,2023-06-08 09:00,17.3,0,5,98
102,백령도,2023-06-08 10:00,17.3,0,4.1,97
102,백령도,2023-06-08 11:00,17.3,.4,4.6,97
102,백령도,2023-06-08 12:00,17.8,0,4.3,95
102,백령도,2023-06-08 13:00,18,,7.4,92
102,백령도,2023-06-08 14:00,20,,6.2,87
102,백령도,2023-06-08 15:00,19.7,,4.2,89
102,백령도,2023-06-08 16:00,18.9,,3.6,93
102,백령도,2023-06-08 17:00,17.5,,1.6,93
102,백령도,2023-06-08 18:00,17.5,,1.9,98
102,백령도,2023-06-08 19:00,17.2,,2.3,98
102,백령도,2023-06-08 20:00,16.3,,2.8,98
102,백령도,2023-06-08 21:00,17.4,,.9,98
102,백령도,2023-06-08 22:00,17.6,,1.3,98
102,백령도,2023-06-08 23:00,16.9,,1.4,98
102,백령도,2023-06-09 00:00,15.9,,1.9,99
102,백령도,2023-06-09 01:00,15.7,,4.3,99
102,백령도,2023-06-09 02:00,15.6,,3.6,99
102,백령도,2023-06-09 03:00,15.2,,2.5,99
102,백령도,2023-06-09 04:00,14.7,,.2,99
102,백령도,2023-06-09 05:00,14.3,,.6,99
102,백령도,2023-06-09 06:00,14.3,,.9,99
102,백령도,2023-06-09 07:00,14.1,,2.2,99
102,백령도,2023-06-09 08:00,14.4,,1.4,99
102,백령도,2023-06-09 09:00,14.1,,3.5,99
102,백령도,2023-06-09 10:00,14.7,,2.3,99
102,백령도,2023-06-09 11:00,15.1,,4.5,99
